,STNAME,CTYNAME,Year,Population
5342,Oklahoma,Tulsa County,POPESTIMATE2015,640470
8595,Rhode Island,Providence County,POPESTIMATE2019,638931
4411,Michigan,Kent County,POPESTIMATE2015,637164
9082,Utah,Utah County,POPESTIMATE2019,636235
1781,New Jersey,Hudson County,CENSUS2010POP,634266
5454,Rhode Island,Providence County,POPESTIMATE2015,633747
3387,Colorado,Arapahoe County,POPESTIMATE2015,630984
1785,New Jersey,Monmouth County,CENSUS2010POP,630380
8533,Pennsylvania,Bucks County,POPESTIMATE2019,628270
2445,Tennessee,Davidson County,CENSUS2010POP,626681
2313,Rhode Island,Providence County,CENSUS2010POP,626667
5392,Pennsylvania,Bucks County,POPESTIMATE2015,625276
2251,Pennsylvania,Bucks County,CENSUS2010POP,625249
4926,New Jersey,Monmouth County,POPESTIMATE2015,624079
4356,Maryland,Baltimore city,POPESTIMATE2015,622522
265,Colorado,El Paso County,CENSUS2010POP,622263
1215,Maryland,Baltimore city,CENSUS2010POP,620961
8067,New Jersey,Monmouth County,POPESTIMATE2019,618795
353,Florida,Lee County,CENSUS2010POP,618754
8973,Texas,Montgomery County,POPESTIMATE2019,607391
8069,New Jersey,Ocean County,POPESTIMATE2019,607186
2201,Oklahoma,Tulsa County,CENSUS2010POP,603403
1270,Michigan,Kent County,CENSUS2010POP,602622
7214,Kansas,Johnson County,POPESTIMATE2019,602401
371,Florida,Polk County,CENSUS2010POP,602095
6605,Florida,Brevard County,POPESTIMATE2019,601942
8522,Oregon,Washington County,POPESTIMATE2019,601592
260,Colorado,Denver County,CENSUS2010POP,600158
7497,Maryland,Baltimore city,POPESTIMATE2019,593490
9049,Texas,Williamson County,POPESTIMATE2019,590551
4928,New Jersey,Ocean County,POPESTIMATE2015,587091
2600,Texas,Fort Bend County,CENSUS2010POP,585375
6556,Colorado,Jefferson County,POPESTIMATE2019,582881
4073,Kansas,Johnson County,POPESTIMATE2015,579684
7475,Maryland,Anne Arundel County,POPESTIMATE2019,579234
1787,New Jersey,Ocean County,CENSUS2010POP,576567
5941,Utah,Utah County,POPESTIMATE2015,572667
5381,Oregon,Washington County,POPESTIMATE2015,572664
246,Colorado,Arapahoe County,CENSUS2010POP,572003
7962,Nebraska,Douglas County,POPESTIMATE2019,571327
8547,Pennsylvania,Delaware County,POPESTIMATE2019,566747
3464,Florida,Brevard County,POPESTIMATE2015,565746
7500,Massachusetts,Bristol County,POPESTIMATE2019,565217
3415,Colorado,Jefferson County,POPESTIMATE2015,564888
5406,Pennsylvania,Delaware County,POPESTIMATE2015,563225
4334,Maryland,Anne Arundel County,POPESTIMATE2015,563027
2265,Pennsylvania,Delaware County,CENSUS2010POP,558979
6599,Delaware,New Castle County,POPESTIMATE2019,558753
4359,Massachusetts,Bristol County,POPESTIMATE2015,556863
8074,New Jersey,Union County,POPESTIMATE2019,556341
6651,Florida,Pasco County,POPESTIMATE2019,553947
3458,Delaware,New Castle County,POPESTIMATE2015,553488
6664,Florida,Volusia County,POPESTIMATE2019,553284
6517,California,Stanislaus County,POPESTIMATE2019,550660
7656,Minnesota,Ramsey County,POPESTIMATE2019,550321
4933,New Jersey,Union County,POPESTIMATE2015,549905
4821,Nebraska,Douglas County,POPESTIMATE2015,549029
1218,Massachusetts,Bristol County,CENSUS2010POP,548285
9340,Wisconsin,Dane County,POPESTIMATE2019,546695
8560,Pennsylvania,Lancaster County,POPESTIMATE2019,545724
932,Kansas,Johnson County,CENSUS2010POP,544179
323,Florida,Brevard County,CENSUS2010POP,543376
5259,Ohio,Summit County,POPESTIMATE2015,541788
2118,Ohio,Summit County,CENSUS2010POP,541781
8400,Ohio,Summit County,POPESTIMATE2019,541013
317,Delaware,New Castle County,CENSUS2010POP,538479
1193,Maryland,Anne Arundel County,CENSUS2010POP,537656
8211,North Carolina,Guilford County,POPESTIMATE2019,537174
4515,Minnesota,Ramsey County,POPESTIMATE2015,536631
1792,New Jersey,Union County,CENSUS2010POP,536499
5419,Pennsylvania,Lancaster County,POPESTIMATE2015,535811
5832,Texas,Montgomery County,POPESTIMATE2015,535753
2098,Ohio,Montgomery County,CENSUS2010POP,535153
274,Colorado,Jefferson County,CENSUS2010POP,534543
3376,California,Stanislaus County,POPESTIMATE2015,533211
6920,Illinois,Kane County,POPESTIMATE2019,532403
5239,Ohio,Montgomery County,POPESTIMATE2015,531777
8380,Ohio,Montgomery County,POPESTIMATE2019,531687
2240,Oregon,Washington County,CENSUS2010POP,529710
3779,Illinois,Kane County,POPESTIMATE2015,528760
8539,Pennsylvania,Chester County,POPESTIMATE2019,524989
8619,South Carolina,Greenville County,POPESTIMATE2019,523542
6199,Wisconsin,Dane County,POPESTIMATE2015,523000
9265,Washington,Spokane County,POPESTIMATE2019,522798
7509,Massachusetts,Plymouth County,POPESTIMATE2019,521202
2278,Pennsylvania,Lancaster County,CENSUS2010POP,519445
6526,Colorado,Adams County,POPESTIMATE2019,517421
1680,Nebraska,Douglas County,CENSUS2010POP,517110
5070,North Carolina,Guilford County,POPESTIMATE2015,517053
3523,Florida,Volusia County,POPESTIMATE2015,516730
2800,Utah,Utah County,CENSUS2010POP,516564
7255,Kansas,Sedgwick County,POPESTIMATE2019,516042
638,Illinois,Kane County,CENSUS2010POP,515269
5398,Pennsylvania,Chester County,POPESTIMATE2015,515055
235,California,Stanislaus County,CENSUS2010POP,514453
1776,New Jersey,Camden County,CENSUS2010POP,513657
4114,Kansas,Sedgwick County,POPESTIMATE2015,511083
4368,Massachusetts,Plymouth County,POPESTIMATE2015,509221
1374,Minnesota,Ramsey County,CENSUS2010POP,508640
4917,New Jersey,Camden County,POPESTIMATE2015,507638
5908,Texas,Williamson County,POPESTIMATE2015,507133
8058,New Jersey,Camden County,POPESTIMATE2019,506471
4929,New Jersey,Passaic County,POPESTIMATE2015,504629
8070,New Jersey,Passaic County,POPESTIMATE2019,501826
1788,New Jersey,Passaic County,CENSUS2010POP,501226
3375,California,Sonoma County,POPESTIMATE2015,500863
2257,Pennsylvania,Chester County,CENSUS2010POP,498886
973,Kansas,Sedgwick County,CENSUS2010POP,498365
740,Indiana,Lake County,CENSUS2010POP,496005
1227,Massachusetts,Plymouth County,CENSUS2010POP,494919
3510,Florida,Pasco County,POPESTIMATE2015,494895
382,Florida,Volusia County,CENSUS2010POP,494593
6516,California,Sonoma County,POPESTIMATE2019,494336
4927,New Jersey,Morris County,POPESTIMATE2015,494259
1786,New Jersey,Morris County,CENSUS2010POP,492276
8068,New Jersey,Morris County,POPESTIMATE2019,491845
5478,South Carolina,Greenville County,POPESTIMATE2015,490900
3385,Colorado,Adams County,POPESTIMATE2015,490443
7146,Iowa,Polk County,POPESTIMATE2019,490161
6124,Washington,Spokane County,POPESTIMATE2015,488610
1929,North Carolina,Guilford County,CENSUS2010POP,488406
9239,Washington,Clark County,POPESTIMATE2019,488241
3058,Wisconsin,Dane County,CENSUS2010POP,488073
3881,Indiana,Lake County,POPESTIMATE2015,487908
7022,Indiana,Lake County,POPESTIMATE2019,485493
234,California,Sonoma County,CENSUS2010POP,483878
6832,Idaho,Ada County,POPESTIMATE2019,481587
8151,New York,Richmond County,POPESTIMATE2019,476143
