,STNAME,CTYNAME,Year,Population
1172,Louisiana,West Baton Rouge Parish,CENSUS2010POP,23788
2094,Ohio,Meigs County,CENSUS2010POP,23770
9137,Virginia,Goochland County,POPESTIMATE2019,23753
2946,Virginia,Staunton city,CENSUS2010POP,23746
2634,Texas,Houston County,CENSUS2010POP,23732
1905,North Carolina,Caswell County,CENSUS2010POP,23719
8092,New Mexico,Luna County,POPESTIMATE2019,23709
3070,Wisconsin,Iowa County,CENSUS2010POP,23687
440,Georgia,Fannin County,CENSUS2010POP,23682
9352,Wisconsin,Iowa County,POPESTIMATE2019,23678
8216,North Carolina,Hertford County,POPESTIMATE2019,23677
5845,Texas,Panola County,POPESTIMATE2015,23667
6026,Virginia,Page County,POPESTIMATE2015,23662
3908,Indiana,Scott County,POPESTIMATE2015,23660
403,Georgia,Butts County,CENSUS2010POP,23655
6348,Alabama,Winston County,POPESTIMATE2019,23629
6294,Alabama,Clarke County,POPESTIMATE2019,23622
7958,Nebraska,Dawson County,POPESTIMATE2019,23595
6211,Wisconsin,Iowa County,POPESTIMATE2015,23585
2867,Virginia,King George County,CENSUS2010POP,23584
1234,Michigan,Antrim County,CENSUS2010POP,23580
5275,Oklahoma,Beckham County,POPESTIMATE2015,23554
1915,North Carolina,Currituck County,CENSUS2010POP,23547
4569,Mississippi,Itawamba County,POPESTIMATE2015,23543
2801,Utah,Wasatch County,CENSUS2010POP,23530
6448,Arkansas,Poinsett County,POPESTIMATE2019,23528
1296,Michigan,Osceola County,CENSUS2010POP,23528
3544,Georgia,Butts County,POPESTIMATE2015,23520
8807,Texas,Aransas County,POPESTIMATE2019,23510
298,Colorado,Routt County,CENSUS2010POP,23509
3706,Idaho,Cassia County,POPESTIMATE2015,23499
486,Georgia,Mitchell County,CENSUS2010POP,23498
1570,Missouri,Ray County,CENSUS2010POP,23494
6958,Illinois,Saline County,POPESTIMATE2019,23491
4425,Michigan,Menominee County,POPESTIMATE2015,23476
9419,Wyoming,Teton County,POPESTIMATE2019,23464
7578,Michigan,Osceola County,POPESTIMATE2019,23460
6406,Arkansas,Columbia County,POPESTIMATE2019,23457
5809,Texas,Limestone County,POPESTIMATE2015,23442
425,Georgia,Crisp County,CENSUS2010POP,23439
8950,Texas,Limestone County,POPESTIMATE2019,23437
4290,Louisiana,Plaquemines Parish,POPESTIMATE2015,23437
9302,West Virginia,Mingo County,POPESTIMATE2019,23424
9152,Virginia,Lee County,POPESTIMATE2019,23423
1115,Louisiana,Assumption Parish,CENSUS2010POP,23421
4123,Kansas,Sumner County,POPESTIMATE2015,23417
1428,Mississippi,Itawamba County,CENSUS2010POP,23401
7710,Mississippi,Itawamba County,POPESTIMATE2019,23390
3445,Colorado,Teller County,POPESTIMATE2015,23388
3857,Indiana,Fayette County,POPESTIMATE2015,23388
2668,Texas,Limestone County,CENSUS2010POP,23384
8502,Oregon,Hood River County,POPESTIMATE2019,23382
6444,Arkansas,Ouachita County,POPESTIMATE2019,23382
4560,Mississippi,George County,POPESTIMATE2015,23378
1555,Missouri,Nodaway County,CENSUS2010POP,23370
1578,Missouri,Saline County,CENSUS2010POP,23370
3568,Georgia,Dawson County,POPESTIMATE2015,23369
2889,Virginia,Prince Edward County,CENSUS2010POP,23368
770,Indiana,Starke County,CENSUS2010POP,23363
1049,Kentucky,Johnson County,CENSUS2010POP,23356
304,Colorado,Teller County,CENSUS2010POP,23350
6726,Georgia,Franklin County,POPESTIMATE2019,23349
1094,Kentucky,Rowan County,CENSUS2010POP,23333
7516,Michigan,Antrim County,POPESTIMATE2019,23324
8737,Tennessee,Grainger County,POPESTIMATE2019,23320
402,Georgia,Burke County,CENSUS2010POP,23316
6145,West Virginia,Hampshire County,POPESTIMATE2015,23311
5772,Texas,Hockley County,POPESTIMATE2015,23310
1359,Minnesota,Meeker County,CENSUS2010POP,23300
4115,Kansas,Seward County,POPESTIMATE2015,23273
5752,Texas,Gray County,POPESTIMATE2015,23265
5088,North Carolina,Martin County,POPESTIMATE2015,23262
6134,West Virginia,Boone County,POPESTIMATE2015,23252
6064,Virginia,Fairfax city,POPESTIMATE2015,23230
4719,Missouri,Saline County,POPESTIMATE2015,23226
7641,Minnesota,Meeker County,POPESTIMATE2019,23222
7431,Louisiana,Plaquemines Parish,POPESTIMATE2019,23197
8986,Texas,Panola County,POPESTIMATE2019,23194
6136,West Virginia,Brooke County,POPESTIMATE2015,23190
5235,Ohio,Meigs County,POPESTIMATE2015,23180
4437,Michigan,Osceola County,POPESTIMATE2015,23177
2899,Virginia,Scott County,CENSUS2010POP,23177
9286,West Virginia,Hampshire County,POPESTIMATE2019,23175
2525,Texas,Aransas County,CENSUS2010POP,23158
4190,Kentucky,Johnson County,POPESTIMATE2015,23128
4102,Kansas,Pottawatomie County,POPESTIMATE2015,23123
6030,Virginia,Prince Edward County,POPESTIMATE2015,23120
8813,Texas,Bandera County,POPESTIMATE2019,23112
6998,Indiana,Fayette County,POPESTIMATE2019,23102
9162,Virginia,New Kent County,POPESTIMATE2019,23091
719,Indiana,Franklin County,CENSUS2010POP,23087
264,Colorado,Elbert County,CENSUS2010POP,23086
1541,Missouri,McDonald County,CENSUS2010POP,23083
5623,Tennessee,Macon County,POPESTIMATE2015,23076
49,Alabama,Monroe County,CENSUS2010POP,23068
4199,Kentucky,Letcher County,POPESTIMATE2015,23049
6278,Wyoming,Teton County,POPESTIMATE2015,23047
4500,Minnesota,Meeker County,POPESTIMATE2015,23045
1149,Louisiana,Plaquemines Parish,CENSUS2010POP,23042
4375,Michigan,Antrim County,POPESTIMATE2015,23035
8913,Texas,Hockley County,POPESTIMATE2019,23021
6838,Idaho,Blaine County,POPESTIMATE2019,23021
7852,Missouri,Ray County,POPESTIMATE2019,23018
7052,Indiana,Starke County,POPESTIMATE2019,22995
120,Arkansas,Clark County,CENSUS2010POP,22995
635,Illinois,Jersey County,CENSUS2010POP,22985
3717,Idaho,Jerome County,POPESTIMATE2015,22971
8916,Texas,Houston County,POPESTIMATE2019,22968
3566,Georgia,Crisp County,POPESTIMATE2015,22959
565,Idaho,Cassia County,CENSUS2010POP,22952
974,Kansas,Seward County,CENSUS2010POP,22952
3860,Indiana,Franklin County,POPESTIMATE2015,22940
2631,Texas,Hockley County,CENSUS2010POP,22935
5361,Oregon,Hood River County,POPESTIMATE2015,22927
8496,Oregon,Curry County,POPESTIMATE2019,22925
3,Alabama,Bibb County,CENSUS2010POP,22915
55,Alabama,Randolph County,CENSUS2010POP,22913
8376,Ohio,Meigs County,POPESTIMATE2019,22907
4256,Louisiana,Assumption Parish,POPESTIMATE2015,22898
5475,South Carolina,Fairfield County,POPESTIMATE2015,22874
3911,Indiana,Starke County,POPESTIMATE2015,22860
5596,Tennessee,Grainger County,POPESTIMATE2015,22848
7823,Missouri,McDonald County,POPESTIMATE2019,22837
7264,Kansas,Sumner County,POPESTIMATE2019,22836
8707,South Dakota,Yankton County,POPESTIMATE2019,22814
5046,North Carolina,Caswell County,POPESTIMATE2015,22813
9171,Virginia,Prince Edward County,POPESTIMATE2019,22802
1150,Louisiana,Pointe Coupee Parish,CENSUS2010POP,22802
4711,Missouri,Ray County,POPESTIMATE2015,22793
3728,Idaho,Payette County,POPESTIMATE2015,22790
7721,Mississippi,Leake County,POPESTIMATE2019,22786
7566,Michigan,Menominee County,POPESTIMATE2019,22780
4580,Mississippi,Leake County,POPESTIMATE2015,22777
7860,Missouri,Saline County,POPESTIMATE2019,22761
7001,Indiana,Franklin County,POPESTIMATE2019,22758
5973,Virginia,Buchanan County,POPESTIMATE2015,22752
5775,Texas,Houston County,POPESTIMATE2015,22747
7276,Kentucky,Anderson County,POPESTIMATE2019,22747
6337,Alabama,Randolph County,POPESTIMATE2019,22722
1167,Louisiana,Union Parish,CENSUS2010POP,22721
282,Colorado,Logan County,CENSUS2010POP,22709
4682,Missouri,McDonald County,POPESTIMATE2015,22683
2130,Oklahoma,Adair County,CENSUS2010POP,22683
5566,South Dakota,Yankton County,POPESTIMATE2015,22682
636,Illinois,Jo Daviess County,CENSUS2010POP,22678
2455,Tennessee,Grainger County,CENSUS2010POP,22657
6720,Georgia,Emanuel County,POPESTIMATE2019,22646
3543,Georgia,Burke County,POPESTIMATE2015,22632
9231,Virginia,Waynesboro city,POPESTIMATE2019,22630
4696,Missouri,Nodaway County,POPESTIMATE2015,22625
587,Idaho,Payette County,CENSUS2010POP,22623
2320,South Carolina,Barnwell County,CENSUS2010POP,22621
2129,Ohio,Wyandot County,CENSUS2010POP,22615
139,Arkansas,Hempstead County,CENSUS2010POP,22609
8187,North Carolina,Caswell County,POPESTIMATE2019,22604
438,Georgia,Emanuel County,CENSUS2010POP,22598
3196,Alabama,Randolph County,POPESTIMATE2015,22594
2930,Virginia,Hopewell city,CENSUS2010POP,22591
9235,Washington,Asotin County,POPESTIMATE2019,22582
1419,Mississippi,George County,CENSUS2010POP,22578
9178,Virginia,Rockbridge County,POPESTIMATE2019,22573
380,Florida,Taylor County,CENSUS2010POP,22570
3144,Alabama,Bibb County,POPESTIMATE2015,22566
2923,Virginia,Fairfax city,CENSUS2010POP,22565
5363,Oregon,Jefferson County,POPESTIMATE2015,22541
2611,Texas,Gray County,CENSUS2010POP,22535
9212,Virginia,Hopewell city,POPESTIMATE2019,22529
3261,Arkansas,Clark County,POPESTIMATE2015,22513
4308,Louisiana,Union Parish,POPESTIMATE2015,22487
3423,Colorado,Logan County,POPESTIMATE2015,22472
9258,Washington,Pacific County,POPESTIMATE2019,22471
3579,Georgia,Emanuel County,POPESTIMATE2015,22471
3627,Georgia,Mitchell County,POPESTIMATE2015,22449
8229,North Carolina,Martin County,POPESTIMATE2019,22440
2425,South Dakota,Yankton County,CENSUS2010POP,22438
9253,Washington,Klickitat County,POPESTIMATE2019,22425
6564,Colorado,Logan County,POPESTIMATE2019,22409
2041,North Dakota,Williams County,CENSUS2010POP,22398
6037,Virginia,Rockbridge County,POPESTIMATE2015,22396
6285,Alabama,Bibb County,POPESTIMATE2019,22394
7415,Louisiana,Grant Parish,POPESTIMATE2019,22389
6684,Georgia,Burke County,POPESTIMATE2019,22383
849,Iowa,Mahaska County,CENSUS2010POP,22381
576,Idaho,Jerome County,CENSUS2010POP,22374
6707,Georgia,Crisp County,POPESTIMATE2019,22372
2214,Oregon,Curry County,CENSUS2010POP,22364
680,Illinois,Shelby County,CENSUS2010POP,22363
3521,Florida,Taylor County,POPESTIMATE2015,22355
152,Arkansas,Logan County,CENSUS2010POP,22353
666,Illinois,Perry County,CENSUS2010POP,22350
8616,South Carolina,Fairfield County,POPESTIMATE2019,22347
2220,Oregon,Hood River County,CENSUS2010POP,22346
427,Georgia,Dawson County,CENSUS2010POP,22330
6402,Arkansas,Clark County,POPESTIMATE2019,22320
3990,Iowa,Mahaska County,POPESTIMATE2015,22312
1686,Nebraska,Gage County,CENSUS2010POP,22311
1133,Louisiana,Grant Parish,CENSUS2010POP,22309
2896,Virginia,Rockbridge County,CENSUS2010POP,22307
4274,Louisiana,Grant Parish,POPESTIMATE2015,22302
6040,Virginia,Scott County,POPESTIMATE2015,22296
5355,Oregon,Curry County,POPESTIMATE2015,22293
1523,Missouri,Henry County,CENSUS2010POP,22272
3585,Georgia,Franklin County,POPESTIMATE2015,22267
3776,Illinois,Jersey County,POPESTIMATE2015,22260
5271,Oklahoma,Adair County,POPESTIMATE2015,22259
2482,Tennessee,Macon County,CENSUS2010POP,22248
8775,Tennessee,Overton County,POPESTIMATE2019,22241
1469,Mississippi,Tippah County,CENSUS2010POP,22232
6071,Virginia,Hopewell city,POPESTIMATE2015,22231
2502,Tennessee,Scott County,CENSUS2010POP,22228
4291,Louisiana,Pointe Coupee Parish,POPESTIMATE2015,22197
9391,Wisconsin,Vilas County,POPESTIMATE2019,22195
8412,Oklahoma,Adair County,POPESTIMATE2019,22194
7331,Kentucky,Johnson County,POPESTIMATE2019,22188
185,Arkansas,Yell County,CENSUS2010POP,22185
6186,West Virginia,Wyoming County,POPESTIMATE2015,22177
5270,Ohio,Wyandot County,POPESTIMATE2015,22176
5996,Virginia,Goochland County,POPESTIMATE2015,22165
2638,Texas,Hutchinson County,CENSUS2010POP,22150
4020,Iowa,Washington County,POPESTIMATE2015,22145
619,Illinois,Fayette County,CENSUS2010POP,22140
2766,Texas,Willacy County,CENSUS2010POP,22134
7695,Mississippi,Coahoma County,POPESTIMATE2019,22124
2134,Oklahoma,Beckham County,CENSUS2010POP,22119
6784,Georgia,Putnam County,POPESTIMATE2019,22119
3014,West Virginia,McDowell County,CENSUS2010POP,22113
6094,Washington,Asotin County,POPESTIMATE2015,22113
7449,Louisiana,Union Parish,POPESTIMATE2019,22108
1158,Louisiana,St. James Parish,CENSUS2010POP,22102
1954,North Carolina,Northampton County,CENSUS2010POP,22099
7131,Iowa,Mahaska County,POPESTIMATE2019,22095
7837,Missouri,Nodaway County,POPESTIMATE2019,22092
3280,Arkansas,Hempstead County,POPESTIMATE2015,22085
444,Georgia,Franklin County,CENSUS2010POP,22084
2493,Tennessee,Overton County,CENSUS2010POP,22083
8784,Tennessee,Scott County,POPESTIMATE2019,22068
5634,Tennessee,Overton County,POPESTIMATE2015,22067
3777,Illinois,Jo Daviess County,POPESTIMATE2015,22066
3760,Illinois,Fayette County,POPESTIMATE2015,22036
4610,Mississippi,Tippah County,POPESTIMATE2015,22018
7751,Mississippi,Tippah County,POPESTIMATE2019,22015
3670,Georgia,Union County,POPESTIMATE2015,22007
484,Georgia,Meriwether County,CENSUS2010POP,21992
2491,Tennessee,Morgan County,CENSUS2010POP,21987
7161,Iowa,Washington County,POPESTIMATE2019,21965
9277,West Virginia,Brooke County,POPESTIMATE2019,21939
7357,Kentucky,Mercer County,POPESTIMATE2019,21933
4135,Kentucky,Anderson County,POPESTIMATE2015,21920
1421,Mississippi,Grenada County,CENSUS2010POP,21906
2692,Texas,Moore County,CENSUS2010POP,21904
5643,Tennessee,Scott County,POPESTIMATE2015,21893
7397,Louisiana,Assumption Parish,POPESTIMATE2019,21891
5691,Texas,Calhoun County,POPESTIMATE2015,21887
8893,Texas,Gray County,POPESTIMATE2019,21886
479,Georgia,McDuffie County,CENSUS2010POP,21875
6768,Georgia,Mitchell County,POPESTIMATE2019,21863
5907,Texas,Willacy County,POPESTIMATE2015,21863
8416,Oklahoma,Beckham County,POPESTIMATE2019,21859
112,Arkansas,Ashley County,CENSUS2010POP,21853
7805,Missouri,Henry County,POPESTIMATE2019,21824
3821,Illinois,Shelby County,POPESTIMATE2015,21819
430,Georgia,Dodge County,CENSUS2010POP,21796
8953,Texas,Llano County,POPESTIMATE2019,21795
5779,Texas,Hutchinson County,POPESTIMATE2015,21793
5461,South Carolina,Barnwell County,POPESTIMATE2015,21781
6917,Illinois,Jersey County,POPESTIMATE2019,21773
8411,Ohio,Wyandot County,POPESTIMATE2019,21772
2750,Texas,Tyler County,CENSUS2010POP,21766
7556,Michigan,Leelanau County,POPESTIMATE2019,21761
164,Arkansas,Phillips County,CENSUS2010POP,21757
8228,North Carolina,Madison County,POPESTIMATE2019,21755
4506,Minnesota,Nobles County,POPESTIMATE2015,21748
1017,Kentucky,Clay County,CENSUS2010POP,21730
7432,Louisiana,Pointe Coupee Parish,POPESTIMATE2019,21730
3293,Arkansas,Logan County,POPESTIMATE2015,21729
5833,Texas,Moore County,POPESTIMATE2015,21725
4664,Missouri,Henry County,POPESTIMATE2015,21725
1450,Mississippi,Newton County,CENSUS2010POP,21720
2222,Oregon,Jefferson County,CENSUS2010POP,21720
3012,West Virginia,Lincoln County,CENSUS2010POP,21720
2855,Virginia,Goochland County,CENSUS2010POP,21717
3190,Alabama,Monroe County,POPESTIMATE2015,21717
4827,Nebraska,Gage County,POPESTIMATE2015,21715
1274,Michigan,Leelanau County,CENSUS2010POP,21708
879,Iowa,Washington County,CENSUS2010POP,21704
1294,Michigan,Ogemaw County,CENSUS2010POP,21699
544,Georgia,Worth County,CENSUS2010POP,21679
1391,Minnesota,Wabasha County,CENSUS2010POP,21676
9032,Texas,Tyler County,POPESTIMATE2019,21672
3697,Idaho,Blaine County,POPESTIMATE2015,21636
6962,Illinois,Shelby County,POPESTIMATE2019,21634
4415,Michigan,Leelanau County,POPESTIMATE2015,21633
7647,Minnesota,Nobles County,POPESTIMATE2019,21629
7673,Minnesota,Wabasha County,POPESTIMATE2019,21627
2953,Washington,Asotin County,CENSUS2010POP,21623
9078,Utah,Sevier County,POPESTIMATE2019,21620
5347,Oklahoma,Woodward County,POPESTIMATE2015,21608
936,Kansas,Labette County,CENSUS2010POP,21607
961,Kansas,Pottawatomie County,CENSUS2010POP,21604
897,Kansas,Cherokee County,CENSUS2010POP,21603
8012,Nebraska,Saunders County,POPESTIMATE2019,21578
755,Indiana,Owen County,CENSUS2010POP,21575
4591,Mississippi,Newton County,POPESTIMATE2015,21569
6662,Florida,Taylor County,POPESTIMATE2019,21569
9181,Virginia,Scott County,POPESTIMATE2019,21566
7340,Kentucky,Letcher County,POPESTIMATE2019,21553
6473,California,Colusa County,POPESTIMATE2019,21547
6090,Virginia,Waynesboro city,POPESTIMATE2015,21542
6421,Arkansas,Hempstead County,POPESTIMATE2019,21532
3807,Illinois,Perry County,POPESTIMATE2015,21521
7968,Nebraska,Gage County,POPESTIMATE2019,21513
3326,Arkansas,Yell County,POPESTIMATE2015,21506
5632,Tennessee,Morgan County,POPESTIMATE2015,21494
8848,Texas,Colorado County,POPESTIMATE2019,21493
8886,Texas,Gaines County,POPESTIMATE2019,21492
7623,Minnesota,Hubbard County,POPESTIMATE2019,21491
4299,Louisiana,St. James Parish,POPESTIMATE2015,21481
772,Indiana,Sullivan County,CENSUS2010POP,21475
6434,Arkansas,Logan County,POPESTIMATE2019,21466
3620,Georgia,McDuffie County,POPESTIMATE2015,21462
9275,West Virginia,Boone County,POPESTIMATE2019,21457
5354,Oregon,Crook County,POPESTIMATE2015,21455
43,Alabama,Macon County,CENSUS2010POP,21452
6250,Wisconsin,Vilas County,POPESTIMATE2015,21447
5340,Oklahoma,Texas County,POPESTIMATE2015,21446
4562,Mississippi,Grenada County,POPESTIMATE2015,21444
3109,Wisconsin,Vilas County,CENSUS2010POP,21430
7256,Kansas,Seward County,POPESTIMATE2019,21428
8944,Texas,Lampasas County,POPESTIMATE2019,21428
994,Kentucky,Anderson County,CENSUS2010POP,21421
191,California,Colusa County,CENSUS2010POP,21419
8773,Tennessee,Morgan County,POPESTIMATE2019,21403
2779,Utah,Carbon County,CENSUS2010POP,21403
4532,Minnesota,Wabasha County,POPESTIMATE2015,21387
2550,Texas,Calhoun County,CENSUS2010POP,21381
1365,Minnesota,Nobles County,CENSUS2010POP,21378
4216,Kentucky,Mercer County,POPESTIMATE2015,21377
556,Idaho,Blaine County,CENSUS2010POP,21376
5891,Texas,Tyler County,POPESTIMATE2015,21370
1928,North Carolina,Greene County,CENSUS2010POP,21362
9048,Texas,Willacy County,POPESTIMATE2019,21358
529,Georgia,Union County,CENSUS2010POP,21356
6467,Arkansas,Yell County,POPESTIMATE2019,21341
6901,Illinois,Fayette County,POPESTIMATE2019,21336
1075,Kentucky,Mercer County,CENSUS2010POP,21331
7275,Kentucky,Allen County,POPESTIMATE2019,21315
6761,Georgia,McDuffie County,POPESTIMATE2019,21312
3643,Georgia,Putnam County,POPESTIMATE2015,21307
3137,Wyoming,Teton County,CENSUS2010POP,21294
8832,Texas,Calhoun County,POPESTIMATE2019,21290
1896,North Carolina,Bertie County,CENSUS2010POP,21282
6153,West Virginia,Lincoln County,POPESTIMATE2015,21279
125,Arkansas,Conway County,CENSUS2010POP,21273
733,Indiana,Jay County,CENSUS2010POP,21253
6918,Illinois,Jo Daviess County,POPESTIMATE2019,21235
3332,California,Colusa County,POPESTIMATE2015,21231
502,Georgia,Putnam County,CENSUS2010POP,21218
535,Georgia,Washington County,CENSUS2010POP,21187
7079,Iowa,Buchanan County,POPESTIMATE2019,21175
3625,Georgia,Meriwether County,POPESTIMATE2015,21173
6766,Georgia,Meriwether County,POPESTIMATE2019,21167
1589,Missouri,Vernon County,CENSUS2010POP,21159
5087,North Carolina,Madison County,POPESTIMATE2015,21146
5672,Texas,Bandera County,POPESTIMATE2015,21144
3571,Georgia,Dodge County,POPESTIMATE2015,21142
3874,Indiana,Jay County,POPESTIMATE2015,21137
3138,Wyoming,Uinta County,CENSUS2010POP,21118
6384,Arizona,La Paz County,POPESTIMATE2019,21108
3938,Iowa,Buchanan County,POPESTIMATE2015,21105
2035,North Dakota,Stutsman County,CENSUS2010POP,21100
7440,Louisiana,St. James Parish,POPESTIMATE2019,21096
2339,South Carolina,Hampton County,CENSUS2010POP,21090
8210,North Carolina,Greene County,POPESTIMATE2019,21069
7617,Minnesota,Fillmore County,POPESTIMATE2019,21067
883,Iowa,Winneshiek County,CENSUS2010POP,21056
5176,North Dakota,Stutsman County,POPESTIMATE2015,21047
6865,Idaho,Minidoka County,POPESTIMATE2019,21039
45,Alabama,Marengo County,CENSUS2010POP,21027
7732,Mississippi,Newton County,POPESTIMATE2019,21018
1674,Nebraska,Dakota County,CENSUS2010POP,21006
2949,Virginia,Waynesboro city,CENSUS2010POP,21006
6112,Washington,Klickitat County,POPESTIMATE2015,21005
9114,Virginia,Buchanan County,POPESTIMATE2019,21004
7576,Michigan,Ogemaw County,POPESTIMATE2019,20997
2213,Oregon,Crook County,CENSUS2010POP,20978
4158,Kentucky,Clay County,POPESTIMATE2015,20974
1981,North Carolina,Warren County,CENSUS2010POP,20972
797,Iowa,Buchanan County,CENSUS2010POP,20958
769,Indiana,Spencer County,CENSUS2010POP,20952
5707,Texas,Colorado County,POPESTIMATE2015,20951
5069,North Carolina,Greene County,POPESTIMATE2015,20950
4871,Nebraska,Saunders County,POPESTIMATE2015,20949
6,Alabama,Butler County,CENSUS2010POP,20947
8974,Texas,Moore County,POPESTIMATE2019,20940
8920,Texas,Hutchinson County,POPESTIMATE2019,20938
3266,Arkansas,Conway County,POPESTIMATE2015,20936
7614,Minnesota,Dodge County,POPESTIMATE2019,20934
2976,Washington,Pacific County,CENSUS2010POP,20920
6948,Illinois,Perry County,POPESTIMATE2019,20916
820,Iowa,Fayette County,CENSUS2010POP,20880
4435,Michigan,Ogemaw County,POPESTIMATE2015,20877
3046,Wisconsin,Adams County,CENSUS2010POP,20875
2566,Texas,Colorado County,CENSUS2010POP,20874
3913,Indiana,Sullivan County,POPESTIMATE2015,20874
6117,Washington,Pacific County,POPESTIMATE2015,20869
8602,South Carolina,Barnwell County,POPESTIMATE2019,20866
1335,Minnesota,Fillmore County,CENSUS2010POP,20866
5937,Utah,Sevier County,POPESTIMATE2015,20858
6407,Arkansas,Conway County,POPESTIMATE2019,20846
1358,Minnesota,Martin County,CENSUS2010POP,20840
3253,Arkansas,Ashley County,POPESTIMATE2015,20838
8892,Texas,Gonzales County,POPESTIMATE2019,20837
720,Indiana,Fulton County,CENSUS2010POP,20836
3896,Indiana,Owen County,POPESTIMATE2015,20826
1126,Louisiana,Concordia Parish,CENSUS2010POP,20822
801,Iowa,Carroll County,CENSUS2010POP,20816
1107,Kentucky,Wayne County,CENSUS2010POP,20813
2796,Utah,Sevier County,CENSUS2010POP,20802
7037,Indiana,Owen County,POPESTIMATE2019,20799
1730,Nebraska,Saunders County,CENSUS2010POP,20780
3194,Alabama,Pickens County,POPESTIMATE2015,20776
1132,Louisiana,Franklin Parish,CENSUS2010POP,20767
1946,North Carolina,Madison County,CENSUS2010POP,20764
6279,Wyoming,Uinta County,POPESTIMATE2015,20763
7703,Mississippi,Grenada County,POPESTIMATE2019,20758
4730,Missouri,Vernon County,POPESTIMATE2015,20758
5923,Utah,Duchesne County,POPESTIMATE2015,20748
1476,Mississippi,Wayne County,CENSUS2010POP,20747
4024,Iowa,Winneshiek County,POPESTIMATE2015,20745
1506,Missouri,Clinton County,CENSUS2010POP,20743
4476,Minnesota,Fillmore County,POPESTIMATE2015,20739
3676,Georgia,Washington County,POPESTIMATE2015,20736
6331,Alabama,Monroe County,POPESTIMATE2019,20733
8023,Nebraska,Washington County,POPESTIMATE2019,20729
1153,Louisiana,Richland Parish,CENSUS2010POP,20725
8245,North Carolina,Polk County,POPESTIMATE2019,20724
8317,North Dakota,Stutsman County,POPESTIMATE2019,20704
3106,Wisconsin,Taylor County,CENSUS2010POP,20689
3685,Georgia,Worth County,POPESTIMATE2015,20688
7122,Iowa,Jones County,POPESTIMATE2019,20681
7054,Indiana,Sullivan County,POPESTIMATE2019,20669
167,Arkansas,Polk County,CENSUS2010POP,20662
4134,Kentucky,Allen County,POPESTIMATE2015,20660
4482,Minnesota,Hubbard County,POPESTIMATE2015,20646
9354,Wisconsin,Jackson County,POPESTIMATE2019,20643
3910,Indiana,Spencer County,POPESTIMATE2015,20640
2199,Oklahoma,Texas County,CENSUS2010POP,20640
840,Iowa,Jones County,CENSUS2010POP,20638
1412,Mississippi,Clay County,CENSUS2010POP,20634
5724,Texas,DeWitt County,POPESTIMATE2015,20632
4077,Kansas,Labette County,POPESTIMATE2015,20628
7834,Missouri,Morgan County,POPESTIMATE2019,20627
4248,Kentucky,Wayne County,POPESTIMATE2015,20609
6712,Georgia,Dodge County,POPESTIMATE2019,20605
4647,Missouri,Clinton County,POPESTIMATE2015,20581
3076,Wisconsin,Kewaunee County,CENSUS2010POP,20574
1552,Missouri,Morgan County,CENSUS2010POP,20565
7871,Missouri,Vernon County,POPESTIMATE2019,20563
4815,Nebraska,Dakota County,POPESTIMATE2015,20550
4294,Louisiana,Richland Parish,POPESTIMATE2015,20546
4038,Kansas,Cherokee County,POPESTIMATE2015,20535
5095,North Carolina,Northampton County,POPESTIMATE2015,20533
6213,Wisconsin,Jackson County,POPESTIMATE2015,20524
1963,North Carolina,Polk County,CENSUS2010POP,20510
5751,Texas,Gonzales County,POPESTIMATE2015,20510
1808,New Mexico,Lincoln County,CENSUS2010POP,20497
4617,Mississippi,Wayne County,POPESTIMATE2015,20497
8729,Tennessee,DeKalb County,POPESTIMATE2019,20490
102,Arizona,La Paz County,CENSUS2010POP,20489
2531,Texas,Bandera County,CENSUS2010POP,20485
7287,Kentucky,Breckinridge County,POPESTIMATE2019,20477
8637,South Carolina,Saluda County,POPESTIMATE2019,20473
3243,Arizona,La Paz County,POPESTIMATE2015,20466
9061,Utah,Carbon County,POPESTIMATE2019,20463
3072,Wisconsin,Jackson County,CENSUS2010POP,20449
7015,Indiana,Jay County,POPESTIMATE2019,20436
9358,Wisconsin,Kewaunee County,POPESTIMATE2019,20434
3981,Iowa,Jones County,POPESTIMATE2015,20433
3724,Idaho,Minidoka County,POPESTIMATE2015,20430
1341,Minnesota,Hubbard County,CENSUS2010POP,20428
3942,Iowa,Carroll County,POPESTIMATE2015,20423
5104,North Carolina,Polk County,POPESTIMATE2015,20414
4473,Minnesota,Dodge County,POPESTIMATE2015,20410
9294,West Virginia,Lincoln County,POPESTIMATE2019,20409
9327,West Virginia,Wyoming County,POPESTIMATE2019,20394
5920,Utah,Carbon County,POPESTIMATE2015,20391
7788,Missouri,Clinton County,POPESTIMATE2019,20387
4273,Louisiana,Franklin Parish,POPESTIMATE2015,20386
6021,Virginia,New Kent County,POPESTIMATE2015,20377
6817,Georgia,Washington County,POPESTIMATE2019,20374
3939,Iowa,Buena Vista County,POPESTIMATE2015,20374
5803,Texas,Lampasas County,POPESTIMATE2015,20362
6534,Colorado,Chaffee County,POPESTIMATE2019,20356
9388,Wisconsin,Taylor County,POPESTIMATE2019,20343
3861,Indiana,Fulton County,POPESTIMATE2015,20340
7389,Kentucky,Wayne County,POPESTIMATE2019,20333
6217,Wisconsin,Kewaunee County,POPESTIMATE2015,20324
2971,Washington,Klickitat County,CENSUS2010POP,20318
6247,Wisconsin,Taylor County,POPESTIMATE2015,20314
8885,Texas,Frio County,POPESTIMATE2019,20306
