,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
2321,Pennsylvania,Lehigh County,369318,4273
2503,Tennessee,Hamilton County,367804,4213
1334,Michigan,Washtenaw County,367601,3473
1815,New Jersey,Mercer County,367430,4021
363,Florida,Lake County,367118,3388
370,Florida,Marion County,365579,3495
2580,Texas,Bell County,362924,5940
2744,Texas,Nueces County,362294,4467
1339,Minnesota,Anoka County,356921,4218
285,Colorado,Larimer County,356899,3337
2827,Utah,Davis County,355481,5406
2382,South Carolina,Horry County,354081,3161
2887,Virginia,Chesterfield County,352802,3868
268,Colorado,Douglas County,351154,3472
2347,Pennsylvania,Westmoreland County,348899,2869
2269,Oregon,Marion County,347818,4410
2650,Texas,Galveston County,342139,3944
740,Indiana,Hamilton County,338011,3832
1949,North Carolina,Cumberland County,335509,5376
2545,Tennessee,Rutherford County,332285,4109
2909,Virginia,Henrico County,330818,3862
1822,New Jersey,Somerset County,328934,3033
385,Florida,St. Lucie County,328297,3082
256,Colorado,Boulder County,326196,2609
1904,New York,Rockland County,325789,5370
1226,Maryland,Howard County,325690,3447
312,Colorado,Weld County,324492,4360
1044,Kentucky,Fayette County,323152,3841
1955,North Carolina,Durham County,321488,4186
2398,South Carolina,Spartanburg County,319785,3897
1736,Nebraska,Lancaster County,319090,3883
345,Florida,Escambia County,318316,3804
2322,Pennsylvania,Luzerne County,317417,3241
2718,Texas,Lubbock County,310569,3936
2125,Ohio,Lorain County,309833,3175
1801,New Hampshire,Rockingham County,309769,2663
664,Illinois,McHenry County,307774,3090
1861,New York,Albany County,305506,3024
2330,Pennsylvania,Northampton County,305285,2767
1623,Missouri,St. Louis city,300576,3938
2388,South Carolina,Lexington County,298750,3191
1199,Maine,Cumberland County,295003,2716
1874,New York,Dutchess County,294218,2584
365,Florida,Leon County,293582,2984
1547,Missouri,Greene County,293086,3269
1286,Michigan,Ingham County,292406,3181
428,Georgia,Clayton County,292256,4074
1323,Michigan,Ottawa County,291830,3267
1812,New Jersey,Gloucester County,291636,2841
3034,Washington,Thurston County,290536,3135
422,Georgia,Chatham County,289430,3549
71,Alaska,Anchorage Municipality,288000,3923
2181,Oklahoma,Cleveland County,284014,2735
230,California,San Luis Obispo County,283111,2488
709,Illinois,Winnebago County,282572,3445
2402,South Carolina,York County,280979,2965
118,Arkansas,Benton County,279141,3744
2304,Pennsylvania,Dauphin County,278299,3352
214,California,Merced County,277680,4086
2806,Texas,Webb County,276652,4735
234,California,Santa Cruz County,273213,2540
782,Indiana,St. Joseph County,271826,3429
3018,Washington,Kitsap County,271473,3023
2307,Pennsylvania,Erie County,269728,2855
330,Florida,Alachua County,269043,2775
320,Connecticut,New London County,265206,2502
1292,Michigan,Kalamazoo County,265066,3010
384,Florida,St. Johns County,264672,2216
3101,Wisconsin,Brown County,264542,3194
1805,New Jersey,Atlantic County,263670,2718
668,Illinois,Madison County,262966,2804
1419,Minnesota,Washington County,262440,2722
1934,North Carolina,Buncombe County,261191,2413
1183,Louisiana,St. Tammany Parish,260419,2822
2850,Utah,Weber County,260213,3774
690,Illinois,St. Clair County,259686,3095
1223,Maryland,Frederick County,259547,2864
211,California,Marin County,258826,2149
425,Georgia,Cherokee County,258773,2721
2721,Texas,McLennan County,256623,3460
1225,Maryland,Harford County,255441,2601
2303,Pennsylvania,Cumberland County,253370,2585
2689,Texas,Jefferson County,251565,3323
3039,Washington,Yakima County,250873,3746
1532,Missouri,Clay County,249948,3051
2966,Virginia,Chesapeake city,244835,2865
1159,Louisiana,Lafayette Parish,244390,3208
455,Georgia,Forsyth County,244252,2435
2985,Virginia,Norfolk city,242742,3321
1140,Louisiana,Caddo Parish,240204,3032
2013,North Carolina,Union County,239859,2431
186,Arkansas,Washington County,239187,3203
2564,Tennessee,Williamson County,238412,2357
2873,Virginia,Arlington County,236842,2887
112,Arizona,Yavapai County,235099,1782
2161,Ohio,Warren County,234602,2316
472,Georgia,Henry County,234561,2602
1988,North Carolina,New Hanover County,234473,2197
326,Delaware,Sussex County,234225,2288
2778,Texas,Smith County,232751,2969
1450,Mississippi,Hinds County,231840,2953
2991,Virginia,Richmond city,230436,3037
2671,Texas,Hays County,230191,2638
2121,Ohio,Lake County,230149,2192
1906,New York,Saratoga County,229863,2103
577,Idaho,Canyon County,229849,3099
3037,Washington,Whatcom County,229247,2204
2587,Texas,Brazos County,229211,2621
2128,Ohio,Mahoning County,228683,2355
1893,New York,Oneida County,228671,2482
2364,South Carolina,Berkeley County,227907,2774
861,Iowa,Linn County,226706,2734
51,Alabama,Montgomery County,226486,3058
1558,Missouri,Jefferson County,225081,2464
1959,North Carolina,Gaston County,224529,2580
2,Alabama,Baldwin County,223234,2304
2260,Oregon,Jackson County,220944,2251
247,California,Yolo County,220500,2215
339,Florida,Clay County,219252,2183
194,California,Butte County,219186,2422
1834,New Mexico,Doña Ana County,218195,2630
59,Alabama,Shelby County,217702,2237
1936,North Carolina,Cabarrus County,216453,2600
113,Arizona,Yuma County,213787,2991
1239,Massachusetts,Barnstable County,212990,1524
107,Arizona,Mohave County,212181,1752
375,Florida,Okaloosa County,210738,2692
618,Illinois,Champaign County,209689,2232
2317,Pennsylvania,Lackawanna County,209674,2037
63,Alabama,Tuscaloosa County,209355,2431
1974,North Carolina,Johnston County,209339,2371
1892,New York,Niagara County,209281,2067
2099,Ohio,Delaware County,209177,2099
2533,Tennessee,Montgomery County,208993,3490
1449,Mississippi,Harrison County,208080,2597
1212,Maine,York County,207641,1805
2345,Pennsylvania,Washington County,206865,1926
2091,Ohio,Clermont County,206428,2283
731,Indiana,Elkhart County,206341,3054
466,Georgia,Hall County,204441,2586
3003,Washington,Benton County,204390,2578
1141,Louisiana,Calcasieu Parish,203436,2897
2360,South Carolina,Anderson County,202558,2266
518,Georgia,Richmond County,202518,2893
558,Hawaii,Hawaii County,201513,2237
1406,Minnesota,St. Louis County,199070,1876
2156,Ohio,Trumbull County,197974,2039
1990,North Carolina,Onslow County,197938,3951
2254,Oregon,Deschutes County,197692,1857
3148,Wisconsin,Racine County,196311,2257
503,Georgia,Muscogee County,195769,2774
790,Indiana,Tippecanoe County,195732,2196
692,Illinois,Sangamon County,194672,2201
355,Florida,Hernando County,193920,1597
2452,South Dakota,Minnehaha County,193134,2873
199,California,El Dorado County,192843,1624
2363,South Carolina,Beaufort County,192122,1923
1300,Michigan,Livingston County,191995,1760
2553,Tennessee,Sumner County,191283,2173
1326,Michigan,Saginaw County,190539,2188
1864,New York,Broome County,190488,1920
337,Florida,Charlotte County,188910,1047
3141,Wisconsin,Outagamie County,187885,2181
2292,Pennsylvania,Butler County,187853,1714
1758,Nebraska,Sarpy County,187196,2490
1442,Mississippi,DeSoto County,184945,2121
2636,Texas,Ellis County,184826,2272
386,Florida,Santa Rosa County,184313,1971
2033,North Dakota,Cass County,181923,2511
1972,North Carolina,Iredell County,181806,1872
793,Indiana,Vanderburgh County,181451,2058
203,California,Imperial County,181215,2728
324,Delaware,Kent County,180786,2127
1997,North Carolina,Pitt County,180742,2053
1518,Missouri,Boone County,180463,2015
317,Connecticut,Litchfield County,180333,1382
235,California,Shasta County,180080,1977
2130,Ohio,Medina County,179746,1674
2984,Virginia,Newport News city,179225,2633
680,Illinois,Peoria County,179179,2445
3060,West Virginia,Kanawha County,178124,1834
1916,New York,Ulster County,177573,1433
2848,Utah,Washington County,177556,2244
993,Kansas,Shawnee County,176875,2002
2123,Ohio,Licking County,176862,1924
2731,Texas,Midland County,176832,2998
2692,Texas,Johnson County,175817,2155
332,Florida,Bay County,174705,2222
1314,Michigan,Muskegon County,173566,2071
886,Iowa,Scott County,172943,2069
3167,Wisconsin,Winnebago County,171907,1783
665,Illinois,McLean County,171517,1877
2358,South Carolina,Aiken County,170872,1830
775,Indiana,Porter County,170389,1618
743,Indiana,Hendricks County,170311,1731
2327,Pennsylvania,Monroe County,170271,1545
3126,Wisconsin,Kenosha County,169561,1831
1924,North Carolina,Alamance County,169509,1976
2107,Ohio,Greene County,168937,1716
507,Georgia,Paulding County,168667,1860
1219,Maryland,Carroll County,168447,1663
301,Colorado,Pueblo County,168424,1808
1952,North Carolina,Davidson County,167609,1764
562,Hawaii,Maui County,167417,1834
1069,Kentucky,Kenton County,166998,2236
2660,Texas,Guadalupe County,166847,1840
2634,Texas,Ector County,166223,2915
591,Idaho,Kootenai County,165697,1815
1009,Kansas,Wyandotte County,165429,2477
41,Alabama,Lee County,164542,1825
2352,Rhode Island,Kent County,164292,1547
2286,Pennsylvania,Beaver County,163929,1506
2855,Vermont,Chittenden County,163774,1450
3150,Wisconsin,Rock County,163354,1877
1221,Maryland,Charles County,163257,1847
2374,South Carolina,Dorchester County,162809,1813
2145,Ohio,Portage County,162466,1356
318,Connecticut,Middlesex County,162436,1248
2296,Pennsylvania,Centre County,162385,1147
1680,Montana,Yellowstone County,161300,1857
1410,Minnesota,Stearns County,161075,2039
371,Florida,Martin County,161000,1258
1246,Massachusetts,Hampshire County,160830,976
359,Florida,Indian River County,159923,1283
1941,North Carolina,Catawba County,159551,1671
2962,Virginia,Alexandria city,159428,2566
1327,Michigan,St. Clair County,159128,1426
1902,New York,Rensselaer County,158714,1548
1291,Michigan,Jackson County,158510,1743
2552,Tennessee,Sullivan County,158348,1517
1392,Minnesota,Olmsted County,158293,2080
752,Indiana,Johnson County,158167,1810
473,Georgia,Houston County,157863,1958
2101,Ohio,Fairfield County,157574,1728
210,California,Madera County,157327,2108
433,Georgia,Columbia County,156714,1770
2612,Texas,Comal County,156209,1589
1907,New York,Schenectady County,155299,1792
1486,Mississippi,Rankin County,155271,1696
2310,Pennsylvania,Franklin County,155027,1730
289,Colorado,Mesa County,154210,1631
1264,Michigan,Berrien County,153401,1696
1168,Louisiana,Ouachita Parish,153279,2046
408,Georgia,Bibb County,153159,2074
206,California,Kings County,152940,2321
2952,Virginia,Stafford County,152882,1773
1206,Maine,Penobscot County,152148,1378
1800,New Hampshire,Merrimack County,151391,1305
856,Iowa,Johnson County,151140,1730
1234,Maryland,Washington County,151049,1649
321,Connecticut,Tolland County,150721,1134
1311,Michigan,Monroe County,150500,1459
1853,New Mexico,Santa Fe County,150358,1189
338,Florida,Citrus County,149657,1066
1810,New Jersey,Cumberland County,149527,1757
1407,Minnesota,Scott County,149013,1765
435,Georgia,Coweta County,148509,1680
1991,North Carolina,Orange County,148476,1158
764,Indiana,Monroe County,148431,1205
2176,Oklahoma,Canadian County,148306,1829
1850,New Mexico,Sandoval County,146748,1405
445,Georgia,Douglas County,146343,1720
2565,Tennessee,Wilson County,144657,1635
1999,North Carolina,Randolph County,143667,1538
1455,Mississippi,Jackson County,143617,1588
101,Arizona,Coconino County,143476,1513
2750,Texas,Parker County,142878,1548
1933,North Carolina,Brunswick County,142820,1027
2003,North Carolina,Rowan County,142088,1575
689,Illinois,Rock Island County,141879,1661
2320,Pennsylvania,Lebanon County,141793,1581
2336,Pennsylvania,Schuylkill County,141359,1282
1163,Louisiana,Livingston Parish,140789,1788
1823,New Jersey,Sussex County,140488,1207
1423,Minnesota,Wright County,138377,1734
2377,South Carolina,Florence County,138293,1614
2787,Texas,Taylor County,138034,2062
218,California,Napa County,137744,1235
2757,Texas,Randall County,137713,1587
2951,Virginia,Spotsylvania County,136215,1481
2657,Texas,Grayson County,136212,1630
2695,Texas,Kaufman County,136154,1796
3163,Wisconsin,Washington County,136034,1285
1966,North Carolina,Harnett County,135976,1873
3133,Wisconsin,Marathon County,135692,1480
202,California,Humboldt County,135558,1352
1184,Louisiana,Tangipahoa Parish,134758,1953
2976,Virginia,Hampton city,134510,1686
1266,Michigan,Calhoun County,134159,1497
2090,Ohio,Clark County,134083,1554
1018,Kentucky,Boone County,133581,1680
2475,Tennessee,Blount County,133088,1255
1124,Kentucky,Warren County,132896,1723
389,Florida,Sumter County,132420,478
2809,Texas,Wichita County,132230,1585
698,Illinois,Tazewell County,131803,1375
811,Iowa,Black Hawk County,131228,1660
2165,Ohio,Wood County,130817,1319
1802,New Hampshire,Strafford County,130633,1163
2001,North Carolina,Robeson County,130625,1697
2293,Pennsylvania,Cambria County,130192,1218
2267,Oregon,Linn County,129749,1512
1171,Louisiana,Rapides Parish,129648,1636
759,Indiana,Madison County,129569,1369
2560,Tennessee,Washington County,129375,1223
2308,Pennsylvania,Fayette County,129274,1244
3029,Washington,Skagit County,129205,1431
655,Illinois,Kendall County,128990,1473
426,Georgia,Clarke County,128331,1339
2824,Utah,Cache County,128289,2194
180,Arkansas,Sebastian County,127827,1780
1139,Louisiana,Bossier Parish,127039,1570
1867,New York,Chautauqua County,126903,1282
2395,South Carolina,Pickens County,126884,1159
1134,Louisiana,Ascension Parish,126604,1683
137,Arkansas,Faulkner County,126007,1516
100,Arizona,Cochise County,125922,1348
2355,Rhode Island,Washington County,125577,840
1240,Massachusetts,Berkshire County,124944,993
1814,New Jersey,Hunterdon County,124371,972
1851,New Mexico,San Juan County,123958,1410
2658,Texas,Gregg County,123945,1625
2019,North Carolina,Wayne County,123131,1608
177,Arkansas,Saline County,122437,1280
1202,Maine,Kennebec County,122302,1113
927,Kansas,Douglas County,122259,1107
2289,Pennsylvania,Blair County,121829,1146
1557,Missouri,Jasper County,121328,1543
2148,Ohio,Richland County,121154,1319
2183,Oklahoma,Comanche County,120749,1630
419,Georgia,Carroll County,119992,1535
52,Alabama,Morgan County,119679,1402
1656,Montana,Missoula County,119600,1131
2792,Texas,Tom Green County,119200,1498
3042,West Virginia,Berkeley County,119171,1372
573,Idaho,Bonneville County,119062,1876
721,Indiana,Clark County,118302,1436
1256,Michigan,Allegan County,118081,1285
3128,Wisconsin,La Crosse County,118016,1160
1968,North Carolina,Henderson County,117417,1066
2754,Texas,Potter County,117415,1641
489,Georgia,Lowndes County,117406,1643
1898,New York,Oswego County,117124,1207
322,Connecticut,Windham County,116782,1060
2163,Ohio,Wayne County,115710,1446
3156,Wisconsin,Sheboygan County,115340,1226
346,Florida,Flagler County,115081,807
1640,Montana,Gallatin County,114434,1262
453,Georgia,Fayette County,114421,875
729,Indiana,Delaware County,114135,1081
2455,South Dakota,Pennington County,113775,1495
8,Alabama,Calhoun County,113605,1269
1231,Maryland,St. Mary's County,113510,1319
2323,Pennsylvania,Lycoming County,113299,1133
504,Georgia,Newton County,111744,1373
2255,Oregon,Douglas County,110980,1065
1057,Kentucky,Hardin County,110958,1443
108,Arizona,Navajo County,110924,1447
3008,Washington,Cowlitz County,110593,1287
1186,Louisiana,Terrebonne Parish,110461,1475
130,Arkansas,Craighead County,110332,1456
1276,Michigan,Eaton County,110268,1065
757,Indiana,LaPorte County,109888,1248
654,Illinois,Kankakee County,109862,1240
1883,New York,Jefferson County,109834,1913
1895,New York,Ontario County,109777,979
2325,Pennsylvania,Mercer County,109424,1056
2868,Virginia,Albemarle County,109330,1061
658,Illinois,LaSalle County,108669,1124
85,Alaska,Matanuska-Susitna Borough,108317,1368
1197,Maine,Androscoggin County,108277,1208
2476,Tennessee,Bradley County,108110,1240
2908,Virginia,Hanover County,107766,966
1905,New York,St. Lawrence County,107740,988
405,Georgia,Bartow County,107738,1268
2281,Oregon,Yamhill County,107100,1096
795,Indiana,Vigo County,107038,1192
2133,Ohio,Miami County,106987,1153
2399,South Carolina,Sumter County,106721,1343
1470,Mississippi,Madison County,106272,1267
356,Florida,Highlands County,106221,854
35,Alabama,Houston County,105882,1304
1527,Missouri,Cass County,105780,1128
3071,West Virginia,Monongalia County,105612,1071
1825,New Jersey,Warren County,105267,927
1347,Minnesota,Carver County,105089,1157
2765,Texas,Rockwall County,104915,1067
627,Illinois,DeKalb County,104897,1107
3114,Wisconsin,Eau Claire County,104646,1154
552,Georgia,Whitfield County,104628,1305
1591,Missouri,Platte County,104418,1191
666,Illinois,Macon County,104009,1258
1544,Missouri,Franklin County,103967,1186
3161,Wisconsin,Walworth County,103868,924
1639,Montana,Flathead County,103806,1113
1235,Maryland,Wicomico County,103609,1264
3116,Wisconsin,Fond du Lac County,103403,1068
1262,Michigan,Bay County,103126,981
901,Iowa,Woodbury County,103107,1390
2283,Pennsylvania,Adams County,103009,960
1220,Maryland,Cecil County,102855,1130
2080,Ohio,Allen County,102351,1214
28,Alabama,Etowah County,102268,1175
1915,New York,Tompkins County,102180,742
1948,North Carolina,Craven County,102139,1340
2093,Ohio,Columbiana County,101883,982
1040,Kentucky,Daviess County,101511,1302
1986,North Carolina,Moore County,100880,1139
219,California,Nevada County,99755,778
3180,Wyoming,Laramie County,99500,1269
140,Arkansas,Garland County,99386,1071
2992,Virginia,Roanoke city,99143,1319
42,Alabama,Limestone County,98915,1014
2682,Texas,Hunt County,98594,1206
2926,Virginia,Montgomery County,98535,804
454,Georgia,Floyd County,98498,1133
1299,Michigan,Lenawee County,98451,952
1900,New York,Putnam County,98320,800
2548,Tennessee,Sevier County,98250,1025
2385,South Carolina,Lancaster County,98012,1010
2527,Tennessee,Madison County,97984,1193
1946,North Carolina,Cleveland County,97947,1102
3013,Washington,Grant County,97733,1486
1160,Louisiana,Lafourche Parish,97614,1148
835,Iowa,Dubuque County,97311,1136
2082,Ohio,Ashtabula County,97241,1111
1408,Minnesota,Sherburne County,97238,1217
889,Iowa,Story County,97117,872
241,California,Sutter County,96971,1267
76,Alaska,Fairbanks North Star Borough,96849,1533
48,Alabama,Marshall County,96774,1395
