,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
2268,Oregon,Malheur County,30571,396
3066,West Virginia,Marshall County,30531,276
3186,Wyoming,Sheridan County,30485,308
2373,South Carolina,Dillon County,30479,413
1648,Montana,Lake County,30458,317
2401,South Carolina,Williamsburg County,30368,302
1361,Minnesota,Freeborn County,30281,314
1200,Maine,Franklin County,30199,237
2949,Virginia,Smyth County,30104,286
2383,South Carolina,Jasper County,30073,366
2536,Tennessee,Obion County,30069,328
1021,Kentucky,Boyle County,30060,310
2574,Texas,Austin County,30032,328
2600,Texas,Cass County,30026,302
2854,Vermont,Caledonia County,29993,272
485,Georgia,Lee County,29992,325
548,Georgia,Wayne County,29927,360
2306,Pennsylvania,Elk County,29910,268
2105,Ohio,Gallia County,29898,353
494,Georgia,Madison County,29880,317
589,Idaho,Jefferson County,29871,496
468,Georgia,Haralson County,29792,350
2884,Virginia,Carroll County,29791,199
1348,Minnesota,Cass County,29779,284
47,Alabama,Marion County,29709,302
1507,Mississippi,Yazoo County,29690,312
663,Illinois,McDonough County,29682,258
2936,Virginia,Powhatan County,29652,241
3158,Wisconsin,Trempealeau County,29649,425
1395,Minnesota,Pine County,29579,251
526,Georgia,Sumter County,29524,377
2498,Tennessee,Giles County,29464,301
331,Florida,Baker County,29210,322
3184,Wyoming,Park County,29194,283
2748,Texas,Palo Pinto County,29189,352
1306,Michigan,Mason County,29144,285
1543,Missouri,Dunklin County,29131,357
1475,Mississippi,Neshoba County,29118,435
294,Colorado,Morgan County,29068,438
2974,Virginia,Fredericksburg city,29036,429
1611,Missouri,Stoddard County,29025,328
1224,Maryland,Garrett County,29014,260
2187,Oklahoma,Custer County,29003,398
2528,Tennessee,Marion County,28907,325
2860,Vermont,Orange County,28892,255
1377,Minnesota,Le Sueur County,28887,343
2659,Texas,Grimes County,28880,306
2770,Texas,San Jacinto County,28859,298
1498,Mississippi,Union County,28815,355
3055,West Virginia,Hancock County,28810,243
2175,Oklahoma,Caddo County,28762,374
481,Georgia,Jones County,28735,216
3082,West Virginia,Randolph County,28695,319
2960,Virginia,Wythe County,28684,299
662,Illinois,Logan County,28618,286
1943,North Carolina,Cherokee County,28612,250
3058,West Virginia,Jackson County,28576,276
1092,Kentucky,Meade County,28572,271
930,Kansas,Ellis County,28553,294
2893,Virginia,Dinwiddie County,28544,192
961,Kansas,McPherson County,28542,305
1572,Missouri,Marion County,28530,346
2102,Ohio,Fayette County,28525,330
676,Illinois,Montgomery County,28414,301
1257,Michigan,Alpena County,28405,280
201,California,Glenn County,28393,371
122,Arkansas,Carroll County,28380,301
2449,South Dakota,Meade County,28332,257
780,Indiana,Ripley County,28324,343
1494,Mississippi,Tate County,28321,347
801,Indiana,Wells County,28296,321
2159,Ohio,Van Wert County,28275,339
2115,Ohio,Hocking County,28264,289
333,Florida,Bradford County,28201,285
1467,Mississippi,Leflore County,28183,412
1097,Kentucky,Montgomery County,28157,350
1487,Mississippi,Scott County,28124,451
2509,Tennessee,Henderson County,28117,305
2999,Virginia,Winchester city,28078,338
1440,Mississippi,Copiah County,28065,339
799,Indiana,Washington County,28036,321
2417,South Dakota,Codington County,28009,316
198,California,Del Norte County,27812,261
2144,Ohio,Pike County,27772,334
2479,Tennessee,Carroll County,27767,296
1950,North Carolina,Currituck County,27763,268
751,Indiana,Jennings County,27735,338
2192,Oklahoma,Garvin County,27711,328
2079,Ohio,Adams County,27698,346
3111,Wisconsin,Door County,27668,214
3131,Wisconsin,Lincoln County,27593,264
499,Georgia,Monroe County,27578,241
508,Georgia,Peach County,27546,339
583,Idaho,Elmore County,27511,456
1147,Louisiana,De Soto Parish,27463,318
2563,Tennessee,White County,27345,292
2400,South Carolina,Union County,27316,294
1852,New Mexico,San Miguel County,27277,247
2898,Virginia,Fluvanna County,27270,290
2375,South Carolina,Edgefield County,27260,192
1928,North Carolina,Ashe County,27203,216
1985,North Carolina,Montgomery County,27173,268
646,Illinois,Iroquois County,27114,292
1081,Kentucky,Logan County,27102,360
2861,Vermont,Orleans County,27037,247
2274,Oregon,Tillamook County,27036,230
2113,Ohio,Henry County,27006,313
1836,New Mexico,Grant County,26998,256
2652,Texas,Gillespie County,26988,248
353,Florida,Hardee County,26937,339
2088,Ohio,Carroll County,26914,269
3069,West Virginia,Mineral County,26868,249
2915,Virginia,King George County,26836,287
2276,Oregon,Union County,26835,277
535,Georgia,Toombs County,26830,372
1032,Kentucky,Carter County,26797,310
2348,Pennsylvania,Wyoming County,26794,259
2798,Texas,Uvalde County,26741,378
1130,Kentucky,Woodford County,26734,280
270,Colorado,Elbert County,26729,196
3125,Wisconsin,Juneau County,26687,270
2278,Oregon,Wasco County,26682,299
1830,New Mexico,Cibola County,26675,306
1489,Mississippi,Simpson County,26658,305
2946,Virginia,Russell County,26586,229
150,Arkansas,Johnson County,26578,326
727,Indiana,Decatur County,26559,320
3067,West Virginia,Mason County,26516,262
1317,Michigan,Oceana County,26467,256
1192,Louisiana,West Baton Rouge Parish,26465,346
1053,Kentucky,Grayson County,26427,300
440,Georgia,Decatur County,26404,361
542,Georgia,Upson County,26320,306
1885,New York,Lewis County,26296,322
1385,Minnesota,Mille Lacs County,26277,319
31,Alabama,Geneva County,26271,278
1694,Nebraska,Cass County,26248,267
812,Iowa,Boone County,26234,268
722,Indiana,Clay County,26225,307
470,Georgia,Hart County,26205,249
10,Alabama,Cherokee County,26196,222
452,Georgia,Fannin County,26188,223
292,Colorado,Montezuma County,26183,263
1268,Michigan,Charlevoix County,26143,218
2391,South Carolina,Marlboro County,26118,270
439,Georgia,Dawson County,26108,271
1017,Kentucky,Bell County,26032,316
1058,Kentucky,Harlan County,26010,298
524,Georgia,Stephens County,25925,317
2443,South Dakota,Lawrence County,25844,224
909,Kansas,Barton County,25779,271
1119,Kentucky,Taylor County,25769,324
1107,Kentucky,Perry County,25758,321
2525,Tennessee,McNairy County,25694,263
2506,Tennessee,Hardin County,25652,237
810,Iowa,Benton County,25645,280
304,Colorado,Routt County,25638,207
2519,Tennessee,Lauderdale County,25633,283
1133,Louisiana,Allen Parish,25627,315
1574,Missouri,Miller County,25619,301
1232,Maryland,Somerset County,25616,216
934,Kansas,Franklin County,25544,295
1379,Minnesota,Lyon County,25474,343
396,Florida,Washington County,25473,257
1279,Michigan,Gladwin County,25449,240
776,Indiana,Posey County,25427,242
1615,Missouri,Texas County,25398,268
310,Colorado,Teller County,25388,176
1512,Missouri,Audrain County,25388,309
2859,Vermont,Lamoille County,25362,228
2641,Texas,Fayette County,25346,237
1509,Missouri,Adair County,25343,267
2993,Virginia,Salem city,25301,300
529,Georgia,Tattnall County,25286,254
1269,Michigan,Cheboygan County,25276,219
2776,Texas,Shelby County,25274,340
1275,Michigan,Dickinson County,25239,238
2511,Tennessee,Hickman County,25178,255
879,Iowa,Plymouth County,25177,276
1288,Michigan,Iosco County,25127,233
1484,Mississippi,Prentiss County,25126,289
1492,Mississippi,Sunflower County,25110,275
1051,Kentucky,Grant County,25069,363
813,Iowa,Bremer County,25062,271
2505,Tennessee,Hardeman County,25050,218
1345,Minnesota,Brown County,25008,276
176,Arkansas,St. Francis County,24994,305
415,Georgia,Butts County,24936,291
2994,Virginia,Staunton city,24932,338
126,Arkansas,Cleburne County,24919,227
1922,New York,Yates County,24913,316
1776,Nevada,Churchill County,24909,327
1165,Louisiana,Morehouse Parish,24874,330
2732,Texas,Milam County,24823,268
424,Georgia,Chattooga County,24789,299
2316,Pennsylvania,Juniata County,24763,276
1596,Missouri,Randolph County,24748,292
1618,Missouri,Washington County,24730,274
3,Alabama,Barbour County,24686,256
1322,Michigan,Otsego County,24668,253
779,Indiana,Randolph County,24665,283
1414,Minnesota,Todd County,24664,321
2261,Oregon,Jefferson County,24658,281
462,Georgia,Grady County,24633,299
2526,Tennessee,Macon County,24602,341
1471,Mississippi,Marion County,24573,278
1304,Michigan,Manistee County,24558,216
1079,Kentucky,Lincoln County,24549,329
2200,Oklahoma,Jackson County,24530,359
2357,South Carolina,Abbeville County,24527,231
541,Georgia,Union County,24511,167
1445,Mississippi,George County,24500,347
3074,West Virginia,Nicholas County,24496,245
1113,Kentucky,Rowan County,24460,268
1927,North Carolina,Anson County,24446,253
3166,Wisconsin,Waushara County,24443,205
590,Idaho,Jerome County,24412,367
2252,Oregon,Crook County,24404,259
979,Kansas,Pottawatomie County,24383,347
2234,Oklahoma,Seminole County,24258,304
3089,West Virginia,Upshur County,24176,221
802,Indiana,White County,24102,291
579,Idaho,Cassia County,24030,391
1325,Michigan,Roscommon County,24019,161
2971,Virginia,Fairfax city,24019,673
1102,Kentucky,Ohio County,23994,279
601,Idaho,Payette County,23951,306
1536,Missouri,Crawford County,23920,250
2933,Virginia,Page County,23902,244
1174,Louisiana,Sabine Parish,23884,262
783,Indiana,Scott County,23873,262
2903,Virginia,Goochland County,23753,161
1843,New Mexico,Luna County,23709,346
3121,Wisconsin,Iowa County,23678,248
1969,North Carolina,Hertford County,23677,224
67,Alabama,Winston County,23629,243
13,Alabama,Clarke County,23622,266
1705,Nebraska,Dawson County,23595,404
170,Arkansas,Poinsett County,23528,310
2570,Texas,Aransas County,23510,193
691,Illinois,Saline County,23491,278
3189,Wyoming,Teton County,23464,228
1320,Michigan,Osceola County,23460,265
128,Arkansas,Columbia County,23457,262
2713,Texas,Limestone County,23437,253
3070,West Virginia,Mingo County,23424,306
2918,Virginia,Lee County,23423,197
1454,Mississippi,Itawamba County,23390,257
166,Arkansas,Ouachita County,23382,249
2259,Oregon,Hood River County,23382,250
456,Georgia,Franklin County,23349,287
1258,Michigan,Antrim County,23324,156
2499,Tennessee,Grainger County,23320,222
1384,Minnesota,Meeker County,23222,268
1169,Louisiana,Plaquemines Parish,23197,270
2749,Texas,Panola County,23194,254
3054,West Virginia,Hampshire County,23175,205
2576,Texas,Bandera County,23112,185
732,Indiana,Fayette County,23102,271
2928,Virginia,New Kent County,23091,233
570,Idaho,Blaine County,23021,192
2676,Texas,Hockley County,23021,306
1597,Missouri,Ray County,23018,262
786,Indiana,Starke County,22995,262
2679,Texas,Houston County,22968,209
2253,Oregon,Curry County,22925,166
2131,Ohio,Meigs County,22907,243
1568,Missouri,McDonald County,22837,364
1000,Kansas,Sumner County,22836,249
2468,South Dakota,Yankton County,22814,261
2937,Virginia,Prince Edward County,22802,210
1465,Mississippi,Leake County,22786,299
1308,Michigan,Menominee County,22780,166
1605,Missouri,Saline County,22761,240
735,Indiana,Franklin County,22758,275
1013,Kentucky,Anderson County,22747,252
56,Alabama,Randolph County,22722,254
450,Georgia,Emanuel County,22646,295
2997,Virginia,Waynesboro city,22630,357
1940,North Carolina,Caswell County,22604,210
3002,Washington,Asotin County,22582,223
2944,Virginia,Rockbridge County,22573,122
2978,Virginia,Hopewell city,22529,347
3025,Washington,Pacific County,22471,178
1982,North Carolina,Martin County,22440,246
3020,Washington,Klickitat County,22425,222
288,Colorado,Logan County,22409,217
4,Alabama,Bibb County,22394,240
1153,Louisiana,Grant Parish,22389,239
414,Georgia,Burke County,22383,290
437,Georgia,Crisp County,22372,256
2376,South Carolina,Fairfield County,22347,203
124,Arkansas,Clark County,22320,233
2537,Tennessee,Overton County,22241,233
3160,Wisconsin,Vilas County,22195,182
2168,Oklahoma,Adair County,22194,309
1068,Kentucky,Johnson County,22188,253
1439,Mississippi,Coahoma County,22124,355
514,Georgia,Putnam County,22119,212
1187,Louisiana,Union Parish,22108,230
866,Iowa,Mahaska County,22095,266
1582,Missouri,Nodaway County,22092,195
2546,Tennessee,Scott County,22068,257
1495,Mississippi,Tippah County,22015,262
896,Iowa,Washington County,21965,275
3045,West Virginia,Brooke County,21939,198
1094,Kentucky,Mercer County,21933,248
1135,Louisiana,Assumption Parish,21891,238
2656,Texas,Gray County,21886,259
498,Georgia,Mitchell County,21863,245
2172,Oklahoma,Beckham County,21859,294
1550,Missouri,Henry County,21824,236
2716,Texas,Llano County,21795,161
650,Illinois,Jersey County,21773,211
2166,Ohio,Wyandot County,21772,221
1298,Michigan,Leelanau County,21761,175
1981,North Carolina,Madison County,21755,198
1170,Louisiana,Pointe Coupee Parish,21730,236
2795,Texas,Tyler County,21672,187
695,Illinois,Shelby County,21634,228
1390,Minnesota,Nobles County,21629,382
1416,Minnesota,Wabasha County,21627,235
2842,Utah,Sevier County,21620,310
1759,Nebraska,Saunders County,21578,247
391,Florida,Taylor County,21569,216
2947,Virginia,Scott County,21566,176
1077,Kentucky,Letcher County,21553,233
196,California,Colusa County,21547,282
143,Arkansas,Hempstead County,21532,291
1715,Nebraska,Gage County,21513,228
2611,Texas,Colorado County,21493,257
2649,Texas,Gaines County,21492,430
1366,Minnesota,Hubbard County,21491,216
156,Arkansas,Logan County,21466,235
3043,West Virginia,Boone County,21457,225
992,Kansas,Seward County,21428,403
2707,Texas,Lampasas County,21428,204
2535,Tennessee,Morgan County,21403,199
2811,Texas,Willacy County,21358,252
189,Arkansas,Yell County,21341,258
634,Illinois,Fayette County,21336,228
1012,Kentucky,Allen County,21315,239
491,Georgia,McDuffie County,21312,261
2595,Texas,Calhoun County,21290,262
651,Illinois,Jo Daviess County,21235,165
814,Iowa,Buchanan County,21175,267
496,Georgia,Meriwether County,21167,239
105,Arizona,La Paz County,21108,191
1178,Louisiana,St. James Parish,21096,279
1963,North Carolina,Greene County,21069,206
1360,Minnesota,Fillmore County,21067,256
597,Idaho,Minidoka County,21039,308
1476,Mississippi,Newton County,21018,284
2880,Virginia,Buchanan County,21004,184
1318,Michigan,Ogemaw County,20997,192
2737,Texas,Moore County,20940,369
2683,Texas,Hutchinson County,20938,256
1357,Minnesota,Dodge County,20934,242
681,Illinois,Perry County,20916,188
2362,South Carolina,Barnwell County,20866,234
129,Arkansas,Conway County,20846,227
2655,Texas,Gonzales County,20837,272
771,Indiana,Owen County,20799,201
1447,Mississippi,Grenada County,20758,247
50,Alabama,Monroe County,20733,199
1770,Nebraska,Washington County,20729,207
1998,North Carolina,Polk County,20724,155
2071,North Dakota,Stutsman County,20704,223
857,Iowa,Jones County,20681,200
788,Indiana,Sullivan County,20669,207
3123,Wisconsin,Jackson County,20643,220
1579,Missouri,Morgan County,20627,271
442,Georgia,Dodge County,20605,215
1616,Missouri,Vernon County,20563,242
2491,Tennessee,DeKalb County,20490,219
1024,Kentucky,Breckinridge County,20477,230
2397,South Carolina,Saluda County,20473,226
2825,Utah,Carbon County,20463,231
749,Indiana,Jay County,20436,277
3127,Wisconsin,Kewaunee County,20434,196
3062,West Virginia,Lincoln County,20409,208
3095,West Virginia,Wyoming County,20394,180
1533,Missouri,Clinton County,20387,219
547,Georgia,Washington County,20374,219
258,Colorado,Chaffee County,20356,131
3157,Wisconsin,Taylor County,20343,210
1126,Kentucky,Wayne County,20333,216
2648,Texas,Frio County,20306,251
785,Indiana,Spencer County,20277,212
719,Indiana,Carroll County,20257,232
556,Georgia,Worth County,20247,213
3190,Wyoming,Uinta County,20226,255
3097,Wisconsin,Adams County,20220,123
2244,Oklahoma,Woodward County,20211,247
1502,Mississippi,Wayne County,20183,257
818,Iowa,Carroll County,20165,237
2628,Texas,DeWitt County,20160,229
2550,Tennessee,Smith County,20157,223
2709,Texas,Lavaca County,20154,224
1173,Louisiana,Richland Parish,20122,249
2693,Texas,Jones County,20083,156
1703,Nebraska,Dakota County,20026,361
1152,Louisiana,Franklin Parish,20015,272
900,Iowa,Winneshiek County,19991,174
3001,Washington,Adams County,19983,388
2237,Oklahoma,Texas County,19983,350
1651,Montana,Lincoln County,19980,158
736,Indiana,Fulton County,19974,230
2557,Tennessee,Union County,19972,201
171,Arkansas,Polk County,19964,215
848,Iowa,Henry County,19954,215
915,Kansas,Cherokee County,19939,212
2828,Utah,Duchesne County,19938,352
54,Alabama,Pickens County,19930,205
1036,Kentucky,Clay County,19901,239
3181,Wyoming,Lincoln County,19830,222
2905,Virginia,Greene County,19819,224
2735,Texas,Montague County,19818,204
1019,Kentucky,Bourbon County,19788,208
2420,South Dakota,Davison County,19775,244
2016,North Carolina,Warren County,19731,161
2647,Texas,Freestone County,19717,219
1383,Minnesota,Martin County,19683,234
116,Arkansas,Ashley County,19657,213
837,Iowa,Fayette County,19650,214
770,Indiana,Orange County,19646,246
815,Iowa,Buena Vista County,19620,286
954,Kansas,Labette County,19618,248
358,Florida,Holmes County,19617,198
2213,Oklahoma,McIntosh County,19596,183
1841,New Mexico,Lincoln County,19572,174
488,Georgia,Long County,19559,270
1989,North Carolina,Northampton County,19483,173
510,Georgia,Pierce County,19465,263
629,Illinois,Douglas County,19465,246
7,Alabama,Butler County,19448,213
1516,Missouri,Benton County,19443,174
853,Iowa,Jackson County,19439,223
1227,Maryland,Kent County,19422,142
407,Georgia,Berrien County,19397,236
1496,Mississippi,Tishomingo County,19383,195
1842,New Mexico,Los Alamos County,19369,173
1118,Kentucky,Spencer County,19351,205
1438,Mississippi,Clay County,19316,209
501,Georgia,Morgan County,19276,215
1088,Kentucky,Marion County,19273,236
1146,Louisiana,Concordia Parish,19259,254
403,Georgia,Banks County,19234,219
2381,South Carolina,Hampton County,19222,196
1011,Kentucky,Adair County,19202,184
449,Georgia,Elbert County,19194,206
3130,Wisconsin,Langlade County,19189,188
773,Indiana,Perry County,19169,205
1587,Missouri,Perry County,19136,222
1150,Louisiana,East Feliciana Parish,19135,196
410,Georgia,Brantley County,19109,221
482,Georgia,Lamar County,19077,215
948,Kansas,Jefferson County,19043,171
1060,Kentucky,Hart County,19035,276
511,Georgia,Pike County,18962,205
1931,North Carolina,Bertie County,18947,167
3120,Wisconsin,Green Lake County,18913,202
1059,Kentucky,Harrison County,18886,234
46,Alabama,Marengo County,18863,209
297,Colorado,Park County,18845,134
222,California,Plumas County,18807,157
2568,Texas,Andrews County,18705,286
2584,Texas,Bosque County,18685,182
2141,Ohio,Paulding County,18672,218
625,Illinois,Crawford County,18667,196
1441,Mississippi,Covington County,18636,237
820,Iowa,Cedar County,18627,194
1418,Minnesota,Waseca County,18612,204
1365,Minnesota,Houston County,18600,204
349,Florida,Gilchrist County,18582,182
2513,Tennessee,Humphreys County,18582,230
1117,Kentucky,Simpson County,18572,228
2625,Texas,Deaf Smith County,18546,320
2495,Tennessee,Fentress County,18523,184
883,Iowa,Poweshiek County,18504,166
1849,New Mexico,Roosevelt County,18500,253
368,Florida,Madison County,18493,177
925,Kansas,Dickinson County,18466,198
2405,South Dakota,Beadle County,18453,285
2592,Texas,Burleson County,18443,209
398,Georgia,Appling County,18386,225
72,Alaska,Bethel Census Area,18386,403
2633,Texas,Eastland County,18360,187
1491,Mississippi,Stone County,18336,204
463,Georgia,Greene County,18324,176
1590,Missouri,Pike County,18302,206
855,Iowa,Jefferson County,18295,158
1622,Missouri,Wright County,18289,243
295,Colorado,Otero County,18278,216
141,Arkansas,Grant County,18265,172
2990,Virginia,Radford city,18249,144
2329,Pennsylvania,Montour County,18230,211
136,Arkansas,Drew County,18219,228
1429,Mississippi,Attala County,18174,221
586,Idaho,Gem County,18112,200
2023,North Carolina,Yancey County,18069,181
44,Alabama,Macon County,18068,172
204,California,Inyo County,18039,191
1293,Michigan,Kalkaska County,18038,171
2958,Virginia,Westmoreland County,18015,181
2818,Texas,Young County,18010,198
175,Arkansas,Randolph County,17958,235
1505,Mississippi,Winston County,17955,190
1114,Kentucky,Russell County,17923,203
1602,Missouri,Ste. Genevieve County,17894,204
3073,West Virginia,Morgan County,17884,153
2556,Tennessee,Unicoi County,17883,173
1909,New York,Schuyler County,17807,146
2516,Tennessee,Johnson County,17788,154
168,Arkansas,Phillips County,17782,267
299,Colorado,Pitkin County,17767,130
1263,Michigan,Benzie County,17766,154
138,Arkansas,Franklin County,17715,178
1510,Missouri,Andrew County,17712,190
1535,Missouri,Cooper County,17709,202
642,Illinois,Hancock County,17708,178
1050,Kentucky,Garrard County,17666,192
2950,Virginia,Southampton County,17631,122
3064,West Virginia,McDowell County,17624,174
2934,Virginia,Patrick County,17608,153
3028,Washington,San Juan County,17582,88
1929,North Carolina,Avery County,17557,130
826,Iowa,Clayton County,17549,178
2435,South Dakota,Hughes County,17526,228
115,Arkansas,Arkansas County,17486,206
2982,Virginia,Manassas Park city,17478,14
276,Colorado,Gunnison County,17462,130
182,Arkansas,Sharp County,17442,193
2711,Texas,Leon County,17404,196
2967,Virginia,Colonial Heights city,17370,281
1242,Massachusetts,Dukes County,17332,171
2508,Tennessee,Haywood County,17304,189
2639,Texas,Falls County,17297,186
2482,Tennessee,Chester County,17297,181
1761,Nebraska,Seward County,17284,194
434,Georgia,Cook County,17270,205
834,Iowa,Dickinson County,17258,147
3149,Wisconsin,Richland County,17252,164
2710,Texas,Lee County,17239,208
1084,Kentucky,McCreary County,17231,191
34,Alabama,Henry County,17205,167
212,California,Mariposa County,17203,149
631,Illinois,Edgar County,17161,170
2881,Virginia,Buckingham County,17148,126
2916,Virginia,King William County,17148,204
516,Georgia,Rabun County,17137,144
1434,Mississippi,Chickasaw County,17103,231
1580,Missouri,New Madrid County,17076,204
2764,Texas,Robertson County,17074,211
1091,Kentucky,Mason County,17070,208
832,Iowa,Delaware County,17011,196
1451,Mississippi,Holmes County,17010,219
181,Arkansas,Sevier County,17007,246
772,Indiana,Parke County,16937,203
2215,Oklahoma,Marshall County,16931,200
1538,Missouri,Dallas County,16878,213
890,Iowa,Tama County,16854,219
846,Iowa,Hardin County,16846,169
702,Illinois,Warren County,16844,204
2540,Tennessee,Polk County,16832,166
1782,Nevada,Humboldt County,16831,221
2387,South Carolina,Lee County,16828,165
343,Florida,Dixie County,16826,141
828,Iowa,Crawford County,16820,228
1207,Maine,Piscataquis County,16785,121
2963,Virginia,Bristol city,16762,126
2901,Virginia,Giles County,16720,166
148,Arkansas,Jackson County,16719,187
2774,Texas,Scurry County,16703,203
406,Georgia,Ben Hill County,16700,197
3086,West Virginia,Taylor County,16695,129
1112,Kentucky,Rockcastle County,16695,164
159,Arkansas,Marion County,16694,141
2561,Tennessee,Wayne County,16673,125
588,Idaho,Idaho County,16667,149
3129,Wisconsin,Lafayette County,16665,206
699,Illinois,Union County,16653,173
1855,New Mexico,Socorro County,16637,175
1658,Montana,Park County,16606,154
781,Indiana,Rush County,16581,183
158,Arkansas,Madison County,16576,207
3154,Wisconsin,Sawyer County,16558,150
185,Arkansas,Van Buren County,16545,141
2335,Pennsylvania,Potter County,16526,164
1645,Montana,Hill County,16484,289
3041,West Virginia,Barbour County,16441,169
611,Illinois,Bond County,16426,146
133,Arkansas,Cross County,16419,194
152,Arkansas,Lawrence County,16406,194
1456,Mississippi,Jasper County,16383,182
2226,Oklahoma,Pawnee County,16376,192
734,Indiana,Fountain County,16346,184
682,Illinois,Piatt County,16344,173
865,Iowa,Madison County,16338,158
1370,Minnesota,Kanabec County,16337,180
65,Alabama,Washington County,16326,165
29,Alabama,Fayette County,16302,174
251,Colorado,Alamosa County,16233,198
2879,Virginia,Brunswick County,16231,139
704,Illinois,Wayne County,16215,187
852,Iowa,Iowa County,16184,182
2063,North Dakota,Richland County,16177,190
1515,Missouri,Bates County,16172,181
2473,Tennessee,Benton County,16160,166
1033,Kentucky,Casey County,16159,185
1576,Missouri,Moniteau County,16132,205
3108,Wisconsin,Crawford County,16131,151
1062,Kentucky,Henry County,16126,181
2246,Oregon,Baker County,16124,153
438,Georgia,Dade County,16116,151
907,Kansas,Atchison County,16073,162
825,Iowa,Clay County,16016,201
1747,Nebraska,Otoe County,16012,192
971,Kansas,Neosho County,16007,182
2761,Texas,Reeves County,15976,186
974,Kansas,Osage County,15949,170
2466,South Dakota,Union County,15932,185
1490,Mississippi,Smith County,15916,186
2872,Virginia,Appomattox County,15911,184
3061,West Virginia,Lewis County,15907,139
1338,Minnesota,Aitkin County,15886,124
531,Georgia,Telfair County,15860,137
2752,Texas,Pecos County,15823,189
1586,Missouri,Pemiscot County,15805,224
2204,Oklahoma,Kingfisher County,15765,180
2897,Virginia,Floyd County,15749,144
1156,Louisiana,Jackson Parish,15744,160
275,Colorado,Grand County,15734,109
3162,Wisconsin,Washburn County,15720,133
659,Illinois,Lawrence County,15678,145
1145,Louisiana,Claiborne Parish,15670,134
838,Iowa,Floyd County,15642,187
628,Illinois,De Witt County,15638,162
2694,Texas,Karnes County,15601,165
3135,Wisconsin,Marquette County,15574,135
1541,Missouri,Dent County,15573,174
1194,Louisiana,West Feliciana Parish,15568,124
3098,Wisconsin,Ashland County,15562,179
683,Illinois,Pike County,15561,194
2904,Virginia,Grayson County,15550,118
1437,Mississippi,Clarke County,15541,199
688,Illinois,Richland County,15513,162
794,Indiana,Vermillion County,15498,170
1857,New Mexico,Torrance County,15461,153
411,Georgia,Brooks County,15457,149
620,Illinois,Clark County,15441,168
674,Illinois,Mercer County,15437,140
3103,Wisconsin,Burnett County,15414,123
478,Georgia,Jefferson County,15362,179
1074,Kentucky,Lawrence County,15317,174
2840,Utah,San Juan County,15308,186
506,Georgia,Oglethorpe County,15259,163
392,Florida,Union County,15237,149
2931,Virginia,Nottoway County,15232,170
1567,Missouri,Livingston County,15227,153
587,Idaho,Gooding County,15179,191
1401,Minnesota,Redwood County,15170,192
1405,Minnesota,Roseau County,15165,168
791,Indiana,Tipton County,15148,144
1310,Michigan,Missaukee County,15118,189
1569,Missouri,Macon County,15117,182
477,Georgia,Jeff Davis County,15115,190
869,Iowa,Mills County,15109,137
877,Iowa,Page County,15107,140
718,Indiana,Brown County,15092,117
3092,West Virginia,Wetzel County,15065,141
2474,Tennessee,Bledsoe County,15064,116
2112,Ohio,Harrison County,15040,144
3100,Wisconsin,Bayfield County,15036,128
2547,Tennessee,Sequatchie County,15026,166
2051,North Dakota,McKenzie County,15024,264
1984,North Carolina,Mitchell County,14964,139
2998,Virginia,Williamsburg city,14954,77
2927,Virginia,Nelson County,14930,147
15,Alabama,Cleburne County,14910,187
1161,Louisiana,LaSalle Parish,14892,175
1259,Michigan,Arenac County,14883,110
1409,Minnesota,Sibley County,14865,167
2869,Virginia,Alleghany County,14860,121
859,Iowa,Kossuth County,14813,164
1070,Kentucky,Knott County,14806,142
3173,Wyoming,Carbon County,14800,176
844,Iowa,Hamilton County,14773,170
2686,Texas,Jackson County,14760,221
2743,Texas,Nolan County,14714,187
1545,Missouri,Gasconade County,14706,152
2478,Tennessee,Cannon County,14678,180
2179,Oklahoma,Choctaw County,14672,193
1121,Kentucky,Trigg County,14651,153
2794,Texas,Trinity County,14651,139
33,Alabama,Hale County,14651,190
2888,Virginia,Clarke County,14619,122
2972,Virginia,Falls Church city,14617,201
1106,Kentucky,Pendleton County,14590,179
1045,Kentucky,Fleming County,14581,199
2365,South Carolina,Calhoun County,14553,134
125,Arkansas,Clay County,14551,155
1402,Minnesota,Renville County,14548,188
910,Kansas,Bourbon County,14534,175
2311,Pennsylvania,Fulton County,14530,144
2136,Ohio,Morgan County,14508,135
286,Colorado,Las Animas County,14506,117
678,Illinois,Moultrie County,14501,174
216,California,Mono County,14444,126
816,Iowa,Butler County,14439,134
352,Florida,Hamilton County,14428,164
2139,Ohio,Noble County,14424,143
1072,Kentucky,Larue County,14398,174
1123,Kentucky,Union County,14381,151
492,Georgia,McIntosh County,14378,111
1432,Mississippi,Calhoun County,14361,165
1528,Missouri,Cedar County,14349,186
2892,Virginia,Dickenson County,14318,123
616,Illinois,Carroll County,14305,131
1499,Mississippi,Walthall County,14286,165
2723,Texas,Madison County,14284,170
2010,North Carolina,Swain County,14271,143
361,Florida,Jefferson County,14246,122
2487,Tennessee,Crockett County,14230,148
1757,Nebraska,Saline County,14224,190
476,Georgia,Jasper County,14219,145
2819,Texas,Zapata County,14179,214
3151,Wisconsin,Rusk County,14178,139
2454,South Dakota,Oglala Lakota County,14177,284
2064,North Dakota,Rolette County,14176,226
2185,Oklahoma,Craig County,14142,128
1394,Minnesota,Pennington County,14119,164
